Lat,Long
45.202300,-123.967150
45.199757,-123.978350
45.198083,-123.985483
45.197908,-123.986117
45.197020,-123.989340
45.189525,-124.020173
45.188458,-124.029637
45.187732,-124.052522
45.187125,-124.079977
45.182043,-124.127100
45.181828,-124.130367
45.179773,-124.161678
45.179748,-124.162072
45.172922,-124.266095
45.172920,-124.267513
45.172883,-124.290150
45.171987,-124.328410
45.170973,-124.341500
45.170085,-124.353777
45.169060,-124.365307
45.167955,-124.375508
45.167678,-124.378760
45.167328,-124.383005
45.161887,-124.444705
45.156647,-124.470200
45.147898,-124.531085
45.147978,-124.571152
45.148002,-124.583348
45.155970,-124.631900
45.163320,-124.653870
45.170278,-124.671967
45.180408,-124.693703
45.186205,-124.706823
45.190840,-124.724468
45.192487,-124.735405
45.193572,-124.745380
45.192420,-124.764015
45.187645,-124.782215
45.180753,-124.798280
45.170353,-124.814480
45.155740,-124.832632
45.140052,-124.861012
45.132842,-124.882160
45.129680,-124.904553
45.130622,-124.929812
45.134252,-124.947635
45.138718,-124.966480
45.147617,-125.000717
45.150883,-125.039878
45.150925,-125.040808
45.150832,-125.049950
45.150677,-125.064755
45.150503,-125.081280
45.150182,-125.092930
45.149857,-125.098307
45.148713,-125.115770
45.147987,-125.126650
45.140180,-125.243490
45.138837,-125.260802
45.137950,-125.266180
45.133498,-125.283278
45.121715,-125.323970
45.110332,-125.364252
45.105615,-125.380937
45.098643,-125.409743
45.094523,-125.421315
45.091428,-125.427872
45.084553,-125.439142
45.076955,-125.449393
45.054103,-125.479223
45.031160,-125.512313
45.021835,-125.523715
45.015638,-125.530000
45.004548,-125.539092
44.987265,-125.550107
44.946440,-125.574168
44.916832,-125.592390
44.901703,-125.599720
44.894830,-125.602450
44.869700,-125.610328
44.806692,-125.627678
44.790223,-125.633057
44.770788,-125.638618
44.758992,-125.640237
44.751473,-125.640402
44.738175,-125.639322
44.669900,-125.626603
44.646127,-125.622467
44.633883,-125.618693
44.624395,-125.614360
44.612565,-125.607212
44.591938,-125.591803
44.572773,-125.576612
44.542165,-125.553347
44.533213,-125.544697
44.526147,-125.536077
44.518050,-125.523598
44.515268,-125.518650
44.515068,-125.518245
44.512728,-125.513495
44.503188,-125.494137
44.481687,-125.448600
44.478065,-125.441172
44.476602,-125.436920
44.476420,-125.433858
44.477005,-125.430058
44.478505,-125.426805
44.480575,-125.423932
44.481837,-125.421223
44.483707,-125.418991
44.484924,-125.417694
44.486667,-125.415971
44.488152,-125.414496
44.492170,-125.411201
44.495211,-125.408902
44.497233,-125.407366
44.499313,-125.405895
44.502388,-125.403679
44.504014,-125.402530
44.507450,-125.400052
44.508911,-125.398899
44.508768,-125.398817
44.509568,-125.398242
44.509568,-125.398242
44.508727,-125.398685
44.486743,-125.410540
44.477383,-125.412195
44.472535,-125.412482
44.469730,-125.412277
44.467968,-125.411335
44.466283,-125.409728
44.464867,-125.407380
44.463243,-125.402313
44.459153,-125.388875
44.444282,-125.343898
44.442802,-125.338893
44.442203,-125.333678
44.442422,-125.324300
44.442530,-125.321447
44.442557,-125.320762
44.442998,-125.314460
44.444753,-125.289388
44.445690,-125.275997
44.446388,-125.264333
44.447888,-125.239262
44.448225,-125.233647
44.448230,-125.233558
44.449392,-125.218468
44.450090,-125.214417
44.450135,-125.214210
44.453877,-125.197008
44.454095,-125.196132
44.456610,-125.185990
44.460348,-125.170788
44.460705,-125.169347
44.460752,-125.169160
44.461735,-125.165702
44.462620,-125.162627
44.463075,-125.161713
44.463507,-125.160878
44.464945,-125.157960
44.467910,-125.155643
44.467910,-125.155643
44.477650,-125.151397
44.478397,-125.151015
44.478397,-125.151015
44.481567,-125.148347
44.482590,-125.148425
44.512883,-125.151248
44.526917,-125.152647
44.530538,-125.152565
44.537062,-125.152650
44.541125,-125.152588
44.542577,-125.152518
44.549203,-125.151893
44.554345,-125.151337
44.557275,-125.151027
44.560988,-125.150243
44.565323,-125.149055
44.567902,-125.148402
44.569023,-125.148144
44.569181,-125.148070
44.478397,-125.151015
44.477495,-125.150970
44.467642,-125.150470
44.465275,-125.150475
44.462757,-125.150213
44.461683,-125.150043
44.460775,-125.149782
44.459998,-125.149355
44.459203,-125.148768
44.455335,-125.145580
44.450868,-125.142002
44.446608,-125.138732
44.442315,-125.135370
44.439210,-125.132878
44.435118,-125.129467
44.432060,-125.126748
44.429412,-125.124203
44.426933,-125.121825
44.424703,-125.119525
44.424135,-125.118938
44.423372,-125.118292
44.403388,-125.098828
44.395163,-125.088405
44.384577,-125.071988
44.370875,-125.043380
44.362528,-125.019988
44.358432,-124.996157
44.358392,-124.995897
44.358392,-124.995897
44.355237,-124.975325
44.355017,-124.973853
44.355017,-124.973853
44.354965,-124.973512
44.354782,-124.972198
44.354733,-124.971750
44.354633,-124.971017
44.354450,-124.969700
44.354367,-124.968383
44.354383,-124.967517
44.354550,-124.966800
44.354867,-124.966300
44.355817,-124.965450
44.357617,-124.964117
44.359050,-124.963467
44.362770,-124.962243
44.362770,-124.962243
44.363650,-124.961983
44.363650,-124.961983
44.363650,-124.961983
44.362790,-124.961618
44.360883,-124.960683
44.357850,-124.958767
44.356650,-124.957567
44.355550,-124.956283
44.355417,-124.956017
44.355283,-124.955533
44.355283,-124.955083
44.355333,-124.954450
44.355400,-124.954033
44.356017,-124.951600
44.357997,-124.944455
44.358752,-124.941798
44.359768,-124.938140
44.359937,-124.937098
44.360025,-124.936228
44.361657,-124.927435
44.369217,-124.906155
44.379208,-124.887708
44.385820,-124.870645
44.402173,-124.842260
44.432190,-124.788232
44.438672,-124.779072
44.445747,-124.773360
44.455275,-124.769447
44.469695,-124.765710
44.485622,-124.759157
44.498502,-124.757733
44.519063,-124.755523
44.528438,-124.751117
44.537322,-124.744582
44.545178,-124.734622
44.547763,-124.730038
44.550603,-124.723437
44.555983,-124.707168
44.563397,-124.690730
44.583713,-124.656243
44.587435,-124.650102
44.594928,-124.640525
44.603403,-124.633382
44.606437,-124.631520
44.613035,-124.628835
44.625588,-124.623888
44.639753,-124.620207
44.672605,-124.614935
44.721177,-124.608500
44.733920,-124.608602
44.742712,-124.606993
44.750143,-124.603757
44.757218,-124.598905
44.765553,-124.589258
44.772168,-124.576173
44.775117,-124.566488
44.776643,-124.556585
44.776892,-124.546067
44.774652,-124.532372
44.770468,-124.520612
44.763757,-124.509737
44.753742,-124.498678
44.744662,-124.491062
44.698645,-124.461447
44.695883,-124.459682
44.695638,-124.459522
44.695477,-124.459422
44.694235,-124.458705
44.693798,-124.458455
44.693153,-124.458070
44.692797,-124.457865
44.692205,-124.457515
44.691385,-124.457012
44.691385,-124.457012
44.691567,-124.456874
44.692453,-124.456402
44.692808,-124.456170
44.693123,-124.455912
44.693315,-124.455677
44.693455,-124.455415
44.693612,-124.454838
44.693722,-124.454375
